Analysis code, Status, ARC chair from USA, ARC chair from LPC, Cadi contact from US, Cadi contact LPC, # of ARC members, # of ARC members form USA, # of ARC members from LPC, # of an submitters, # of submitters from USA, # of AN submitters from LPC, # AN authors, # of AN authors from USA, # of  AN authors from LPC, # of institutes, # in institutes from USA, # of institutes from LPC
B2G-12-001 | Free | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-002 | PAS-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
B2G-12-003 | PAS-PUB | 1 | 0 | 1 | 1 | 4 | 2 | 1 | 1 | 1 | 1 | 10 | 4 | 4 | 4 | 2 | 2
B2G-12-004 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 7 | 4 | 2 | 4 | 3 | 2
B2G-12-005 | PAS-only-PUB | 1 | 0 | 1 | 0 | 4 | 2 | 0 | 1 | 1 | 0 | 9 | 8 | 2 | 4 | 3 | 1
B2G-12-006 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 2 | 1 | 2 | 1 | 1 | 15 | 1 | 1 | 4 | 1 | 1
B2G-12-007 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-008 | PRE-APP | 1 | 0 | 1 | 1 | 4 | 2 | 2 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 1
B2G-12-009 | AWG | 1 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 1 | 0 | 7 | 6 | 1 | 4 | 3 | 1
B2G-12-010 | PUB-Draft | 1 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 9 | 9 | 9 | 3 | 3 | 3
B2G-12-011 | Free | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-012 | CWR-ended | 1 | 0 | 1 | 1 | 5 | 3 | 2 | 1 | 1 | 1 | 5 | 5 | 5 | 2 | 2 | 2
B2G-12-013 | AWG | - | - | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-014 | CWR-ended | 1 | 1 | 0 | 0 | 5 | 2 | 1 | 1 | 0 | 0 | 4 | 1 | 0 | 2 | 1 | 0
B2G-12-015 | CWR | 1 | 1 | 1 | 1 | 5 | 2 | 1 | 2 | 2 | 2 | 14 | 14 | 14 | 3 | 3 | 3
B2G-12-016 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
B2G-12-017 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-018 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-019 | PAS-PUB | 1 | 1 | 1 | 1 | 4 | 2 | 1 | 1 | 1 | 1 | 8 | 7 | 5 | 5 | 4 | 3
B2G-12-020 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 20 | 2 | 2 | 4 | 1 | 1
B2G-12-021 | PAS-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 1 | 0 | 0 | 7 | 0 | 0 | 2 | 0 | 0
B2G-12-022 | AWG | - | - | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 0 | 3 | 1 | 0
B2G-12-023 | SUB | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 3 | 0 | 0
B2G-12-024 | AWG | - | - | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 6 | 2 | 0 | 3 | 1 | 0
B2G-12-025 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-13-001 | RefComments | 1 | 0 | 0 | 0 | 4 | 3 | 1 | 4 | 3 | 2 | 47 | 18 | 6 | 9 | 4 | 2
B2G-13-002 | AWG | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-13-003 | PRE-APP | 0 | 0 | 1 | 1 | 4 | 2 | 1 | 3 | 3 | 3 | 50 | 35 | 35 | 2 | 1 | 1
BPH-07-001 | PAS-only-PUB | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0
BPH-07-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 1 | 1 | 1 | 6 | 0 | 0 | 0 | 0 | 0
BPH-07-003 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0
BPH-07-004 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0
BPH-08-001 | Completed | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
BPH-08-002 | SUPERSEDED | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
